Channel,Unix Timestamp,CAN ID (Hex),EXT,DLC,B1,B2,B3,B4,B5,B6,B7,B8
CAN2,1503052795.250042,0CFD9200,1,8,F0,FF,FF,FF,FF,FF,FF,FF
CAN2,1503052795.250626,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052795.260085,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052795.270160,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052795.272168,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052795.280096,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052795.290107,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052795.297129,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052795.300099,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052795.310111,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052795.320250,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052795.322258,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052795.330077,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052795.340097,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052795.340691,15FF2500,1,8,FF,FF,F0,F0,FF,FF,FF,FF
CAN2,1503052795.347213,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052795.350088,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052795.360108,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052795.370158,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052795.372172,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052795.380202,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052795.390058,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052795.397195,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052795.400097,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052795.410155,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
